iter	Passed	Remaining
720	6817	2638
721	6827	2628
722	6836	2619
723	6847	2610
724	6857	2601
725	6870	2592
726	6882	2584
727	6893	2575
728	6901	2565
729	6912	2556
730	6922	2547
731	6934	2538
732	6946	2530
733	6956	2520
734	6969	2512
735	6981	2504
736	6991	2494
737	7001	2485
738	7011	2476
739	7020	2466
740	7032	2458
741	7042	2448
742	7051	2439
743	7064	2430
744	7073	2421
745	7083	2411
746	7095	2403
747	7103	2393
748	7115	2384
749	7124	2374
750	7133	2365
751	7146	2356
752	7156	2347
753	7166	2338
754	7179	2329
755	7189	2320
756	7198	2310
757	7207	2301
758	7215	2291
759	7224	2281
760	7233	2271
761	7241	2261
762	7249	2251
763	7257	2241
764	7264	2231
765	7272	2221
766	7280	2211
767	7288	2201
768	7298	2192
769	7304	2181
770	7313	2172
771	7321	2162
772	7330	2152
773	7338	2142
774	7346	2132
775	7355	2123
776	7363	2113
777	7372	2103
778	7379	2093
779	7388	2083
780	7397	2074
781	7409	2065
782	7418	2056
783	7427	2046
784	7434	2036
785	7442	2026
786	7450	2016
787	7458	2006
788	7468	1997
789	7476	1987
790	7485	1977
791	7493	1967
792	7502	1958
793	7513	1949
794	7521	1939
795	7529	1929
796	7537	1919
797	7546	1910
798	7553	1900
799	7561	1890
800	7569	1880
801	7578	1870
802	7586	1861
803	7594	1851
804	7602	1841
805	7611	1831
806	7620	1822
807	7629	1812
808	7638	1803
809	7647	1793
810	7658	1784
811	7666	1775
812	7679	1766
813	7691	1757
814	7704	1748
815	7714	1739
816	7726	1730
817	7736	1721
818	7746	1711
819	7758	1703
820	7767	1693
821	7778	1684
822	7789	1675
823	7798	1665
824	7810	1656
825	7819	1647
826	7829	1637
827	7840	1628
828	7848	1618
829	7860	1609
830	7870	1600
831	7879	1591
832	7891	1582
833	7901	1572
834	7911	1563
835	7923	1554
836	7931	1544
837	7942	1535
838	7953	1526
839	7962	1516
840	7974	1507
841	7984	1498
842	7993	1488
843	8006	1479
844	8015	1470
845	8024	1460
846	8033	1451
847	8042	1441
848	8051	1431
849	8058	1422
850	8069	1412
851	8083	1404
852	8092	1394
853	8108	1386
854	8118	1376
855	8129	1367
856	8139	1358
857	8150	1348
858	8161	1339
859	8171	1330
860	8180	1320
861	8188	1310
862	8197	1301
863	8205	1291
864	8213	1281
865	8222	1272
866	8232	1262
867	8241	1253
868	8249	1243
869	8257	1233
870	8264	1224
871	8273	1214
872	8281	1204
873	8289	1195
874	8303	1186
875	8312	1176
876	8323	1167
877	8333	1157
878	8341	1148
879	8350	1138
880	8358	1129
881	8366	1119
882	8374	1109
883	8382	1100
884	8390	1090
885	8399	1080
886	8408	1071
887	8415	1061
888	8423	1051
889	8435	1042
890	8443	1032
891	8453	1023
892	8462	1013
893	8470	1004
894	8479	994
895	8487	985
896	8496	975
897	8504	966
898	8513	956
899	8520	946
900	8529	937
901	8537	927
902	8546	918
903	8555	908
904	8563	898
905	8571	889
906	8579	879
907	8587	870
908	8600	861
909	8608	851
910	8616	841
911	8624	832
912	8632	822
913	8640	812
914	8649	803
915	8658	794
916	8666	784
917	8675	774
918	8683	765
919	8696	756
920	8703	746
921	8711	736
922	8719	727
923	8727	717
924	8735	708
925	8743	698
926	8751	689
927	8759	679
928	8768	670
929	8775	660
930	8783	650
931	8792	641
932	8800	631
933	8808	622
934	8816	612
935	8824	603
936	8832	593
937	8840	584
938	8848	574
939	8856	565
940	8864	555
941	8872	546
942	8880	536
943	8895	527
944	8903	518
945	8911	508
946	8919	499
947	8927	489
948	8935	480
949	8943	470
950	8951	461
951	8959	451
952	8967	442
953	8974	432
954	8982	423
955	8991	413
956	8999	404
957	9007	394
958	9015	385
959	9023	375
960	9031	366
961	9039	357
962	9047	347
963	9055	338
964	9065	328
965	9088	319
966	9097	310
967	9108	301
968	9119	291
969	9128	282
970	9140	272
971	9149	263
972	9159	254
973	9171	244
974	9179	235
975	9190	225
976	9200	216
977	9209	207
978	9221	197
979	9229	188
980	9240	178
981	9249	169
982	9258	160
983	9271	150
984	9281	141
985	9291	131
986	9303	122
987	9312	113
988	9322	103
989	9333	94
990	9341	84
991	9353	75
992	9361	65
993	9370	56
994	9379	47
995	9388	37
996	9396	28
997	9404	18
998	9413	9
999	9421	0
